Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0101AA1,2000.03,327,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2001.03,459,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2002.03,510,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2003.03,334,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2004.03,372,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2005.03,356,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2006.03,276,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2007.03,336,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2008.03,512,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2009.03,368,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2010.03,414,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2011.03,538,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2012.03,505,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2013.03,432,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2014.03,628,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2015.03,404,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2016.03,409,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2017.03,584,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2018.03,654,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2019.03,605,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2020.03,664,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2021.03,659,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AA1,2022.03,0,PROVISIONAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,Agriculture,,
RNAA.SG01NAC34B0101AB1,2000.03,166,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,
RNAA.SG01NAC34B0101AB1,2001.03,178,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,
RNAA.SG01NAC34B0101AB1,2002.03,199,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,
RNAA.SG01NAC34B0101AB1,2003.03,195,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,
RNAA.SG01NAC34B0101AB1,2004.03,150,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,
RNAA.SG01NAC34B0101AB1,2005.03,144,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,
RNAA.SG01NAC34B0101AB1,2006.03,164,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,
RNAA.SG01NAC34B0101AB1,2007.03,176,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,
RNAA.SG01NAC34B0101AB1,2008.03,161,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,
